Region_code,Region_label,Civilstand_code,Civilstand_label,Alder_code,Alder_label,Kon_code,Kon_label,ContentsCode_code,ContentsCode_label,Tid_code,Tid_label,value
01,Stockholms län,OG,ogifta,90,90 år,1,män,BE0101N1,Folkmängd,2024,2024,65
01,Stockholms län,OG,ogifta,90,90 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,165
01,Stockholms län,OG,ogifta,91,91 år,1,män,BE0101N1,Folkmängd,2024,2024,52
01,Stockholms län,OG,ogifta,91,91 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,119
01,Stockholms län,OG,ogifta,92,92 år,1,män,BE0101N1,Folkmängd,2024,2024,40
01,Stockholms län,OG,ogifta,92,92 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,94
01,Stockholms län,OG,ogifta,93,93 år,1,män,BE0101N1,Folkmängd,2024,2024,31
01,Stockholms län,OG,ogifta,93,93 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,83
01,Stockholms län,OG,ogifta,94,94 år,1,män,BE0101N1,Folkmängd,2024,2024,22
01,Stockholms län,OG,ogifta,94,94 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,57
01,Stockholms län,OG,ogifta,95,95 år,1,män,BE0101N1,Folkmängd,2024,2024,13
01,Stockholms län,OG,ogifta,95,95 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,60
01,Stockholms län,OG,ogifta,96,96 år,1,män,BE0101N1,Folkmängd,2024,2024,14
01,Stockholms län,OG,ogifta,96,96 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,50
01,Stockholms län,OG,ogifta,97,97 år,1,män,BE0101N1,Folkmängd,2024,2024,7
01,Stockholms län,OG,ogifta,97,97 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,36
01,Stockholms län,OG,ogifta,98,98 år,1,män,BE0101N1,Folkmängd,2024,2024,4
01,Stockholms län,OG,ogifta,98,98 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,26
01,Stockholms län,OG,ogifta,99,99 år,1,män,BE0101N1,Folkmängd,2024,2024,1
01,Stockholms län,OG,ogifta,99,99 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,14
01,Stockholms län,OG,ogifta,100+,100+ år,1,män,BE0101N1,Folkmängd,2024,2024,0
01,Stockholms län,OG,ogifta,100+,100+ år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,35
01,Stockholms län,OG,ogifta,tot,totalt ålder,1,män,BE0101N1,Folkmängd,2024,2024,725053
01,Stockholms län,OG,ogifta,tot,totalt ålder,2,kvinnor,BE0101N1,Folkmängd,2024,2024,652223
01,Stockholms län,G,gifta,0,0 år,1,män,BE0101N1,Folkmängd,2024,2024,0
