kpi,kpi_title,region_code,region,year,value_kr_per_inv,status
N71007,"Nettokostnad primärvård totalt, kr/inv",0009,Region Gotland,2024,6970.526,
N71007,"Nettokostnad primärvård totalt, kr/inv",0010,Region Blekinge,2024,6175.941,
N71007,"Nettokostnad primärvård totalt, kr/inv",0012,Region Skåne,2024,5785.978,
N71007,"Nettokostnad primärvård totalt, kr/inv",0013,Region Halland,2024,5340.883,
N71007,"Nettokostnad primärvård totalt, kr/inv",0014,Västra Götalandsregionen,2024,6212.697,
N71007,"Nettokostnad primärvård totalt, kr/inv",0017,Region Värmland,2024,5586.059,
N71007,"Nettokostnad primärvård totalt, kr/inv",0018,Region Örebro län,2024,5892.176,
N71007,"Nettokostnad primärvård totalt, kr/inv",0019,Region Västmanland,2024,6281.165,
N71007,"Nettokostnad primärvård totalt, kr/inv",0020,Region Dalarna,2024,6002.526,
N71007,"Nettokostnad primärvård totalt, kr/inv",0021,Region Gävleborg,2024,7077.643,
N71007,"Nettokostnad primärvård totalt, kr/inv",0022,Region Västernorrland,2024,5665.581,
N71007,"Nettokostnad primärvård totalt, kr/inv",0023,Region Jämtland Härjedalen,2024,7874.193,
N71007,"Nettokostnad primärvård totalt, kr/inv",0024,Region Västerbotten,2024,5861.889,
N71007,"Nettokostnad primärvård totalt, kr/inv",0025,Region Norrbotten,2024,6451.612,
