category,kpi,title,region_code,region,year,value
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0003,Region Uppsala,2024,144.21
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0004,Region Sörmland,2024,203.6
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0005,Region Östergötland,2024,215.58
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0006,Region Jönköpings län,2024,153.07
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0007,Region Kronoberg,2024,199.15
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0008,Region Kalmar,2024,185.61
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0009,Region Gotland,2024,178.19
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0010,Region Blekinge,2024,152.73
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0012,Region Skåne,2024,170.06
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0013,Region Halland,2024,192.64
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0014,Västra Götalandsregionen,2024,190.88
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0017,Region Värmland,2024,201.8
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0018,Region Örebro län,2024,135.89
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0019,Region Västmanland,2024,193.52
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0020,Region Dalarna,2024,171.36
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0021,Region Gävleborg,2024,154.39
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0022,Region Västernorrland,2024,190.07
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0023,Region Jämtland Härjedalen,2024,226.63
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0024,Region Västerbotten,2024,213.74
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0025,Region Norrbotten,2024,162.47
respiratory_quality,N70535,Asthma + COPD quality index (max 100),0001,Region Stockholm,2024,15.30324749
respiratory_quality,N70535,Asthma + COPD quality index (max 100),0003,Region Uppsala,2024,57.57995156
respiratory_quality,N70535,Asthma + COPD quality index (max 100),0004,Region Sörmland,2024,0.0
respiratory_quality,N70535,Asthma + COPD quality index (max 100),0005,Region Östergötland,2024,32.76160348
respiratory_quality,N70535,Asthma + COPD quality index (max 100),0006,Region Jönköpings län,2024,88.0579309
